X Y  Index
0.6 7.5 :7581
0.6 7.6 :7682
0.6 7.7 :7783
0.6 7.8 :7884
0.6 7.9 :7985
0.6 8 :8086
0.6 8.1 :8187
0.6 8.2 :8288
0.6 8.3 :8389
0.6 8.4 :8490
0.6 8.5 :8591
0.6 8.6 :8692
0.6 8.7 :8793
0.6 8.8 :8894
0.6 8.9 :8995
0.6 9 :9096
0.6 9.1 :9197
0.6 9.2 :9298
0.6 9.3 :9399
0.6 9.4 :9500
0.6 9.5 :9601
0.6 9.6 :9702
0.6 9.7 :9803
0.6 9.8 :9904
0.6 9.9 :10005
0.6 10 :10106
X Y  Index
---------------------------------------------------
0.7 0 :7
0.7 0.1 :108
0.7 0.2 :209
0.7 0.3 :310
0.7 0.4 :411
0.7 0.5 :512
0.7 0.6 :613
0.7 0.7 :714
0.7 0.8 :815
0.7 0.9 :916
0.7 1 :1017
0.7 1.1 :1118
0.7 1.2 :1219
0.7 1.3 :1320
0.7 1.4 :1421
0.7 1.5 :1522
0.7 1.6 :1623
0.7 1.7 :1724
0.7 1.8 :1825
0.7 1.9 :1926
0.7 2 :2027
0.7 2.1 :2128
0.7 2.2 :2229
0.7 2.3 :2330
0.7 2.4 :2431
0.7 2.5 :2532
0.7 2.6 :2633
0.7 2.7 :2734
0.7 2.8 :2835
0.7 2.9 :2936
0.7 3 :3037
0.7 3.1 :3138
0.7 3.2 :3239
0.7 3.3 :3340
0.7 3.4 :3441
0.7 3.5 :3542
0.7 3.6 :3643
0.7 3.7 :3744
0.7 3.8 :3845
0.7 3.9 :3946
0.7 4 :4047
0.7 4.1 :4148
0.7 4.2 :4249
0.7 4.3 :4350
0.7 4.4 :4451
0.7 4.5 :4552
0.7 4.6 :4653
0.7 4.7 :4754
0.7 4.8 :4855
0.7 4.9 :4956
0.7 5 :5057
0.7 5.1 :5158
0.7 5.2 :5259
0.7 5.3 :5360
0.7 5.4 :5461
0.7 5.5 :5562
0.7 5.6 :5663
0.7 5.7 :5764
0.7 5.8 :5865
0.7 5.9 :5966
0.7 6 :6067
0.7 6.1 :6168
0.7 6.2 :6269
0.7 6.3 :6370
0.7 6.4 :6471
0.7 6.5 :6572
0.7 6.6 :6673
0.7 6.7 :6774
0.7 6.8 :6875
0.7 6.9 :6976
0.7 7 :7077
0.7 7.1 :7178
0.7 7.2 :7279
0.7 7.3 :7380
0.7 7.4 :7481
0.7 7.5 :7582
0.7 7.6 :7683
0.7 7.7 :7784
0.7 7.8 :7885
0.7 7.9 :7986
0.7 8 :8087
0.7 8.1 :8188
0.7 8.2 :8289
0.7 8.3 :8390
0.7 8.4 :8491
0.7 8.5 :8592
0.7 8.6 :8693
0.7 8.7 :8794
0.7 8.8 :8895
0.7 8.9 :8996
0.7 9 :9097
0.7 9.1 :9198
0.7 9.2 :9299
0.7 9.3 :9400
0.7 9.4 :9501
0.7 9.5 :9602
0.7 9.6 :9703
0.7 9.7 :9804
0.7 9.8 :9905
0.7 9.9 :10006
0.7 10 :10107
X Y  Index
---------------------------------------------------
0.8 0 :8
0.8 0.1 :109
0.8 0.2 :210
0.8 0.3 :311
0.8 0.4 :412
0.8 0.5 :513
0.8 0.6 :614
0.8 0.7 :715
0.8 0.8 :816
0.8 0.9 :917
0.8 1 :1018
0.8 1.1 :1119
0.8 1.2 :1220
0.8 1.3 :1321
0.8 1.4 :1422
0.8 1.5 :1523
0.8 1.6 :1624
0.8 1.7 :1725
0.8 1.8 :1826
0.8 1.9 :1927
0.8 2 :2028
0.8 2.1 :2129
0.8 2.2 :2230
0.8 2.3 :2331
0.8 2.4 :2432
0.8 2.5 :2533
0.8 2.6 :2634
0.8 2.7 :2735
0.8 2.8 :2836
0.8 2.9 :2937
0.8 3 :3038
0.8 3.1 :3139
0.8 3.2 :3240
0.8 3.3 :3341
0.8 3.4 :3442
0.8 3.5 :3543
0.8 3.6 :3644
0.8 3.7 :3745
0.8 3.8 :3846
0.8 3.9 :3947
0.8 4 :4048
0.8 4.1 :4149
0.8 4.2 :4250
0.8 4.3 :4351
0.8 4.4 :4452
0.8 4.5 :4553
0.8 4.6 :4654
0.8 4.7 :4755
0.8 4.8 :4856
0.8 4.9 :4957
0.8 5 :5058
0.8 5.1 :5159
0.8 5.2 :5260
0.8 5.3 :5361
0.8 5.4 :5462
0.8 5.5 :5563
0.8 5.6 :5664
0.8 5.7 :5765
0.8 5.8 :5866
0.8 5.9 :5967
0.8 6 :6068
0.8 6.1 :6169
0.8 6.2 :6270
0.8 6.3 :6371
0.8 6.4 :6472
0.8 6.5 :6573
0.8 6.6 :6674
0.8 6.7 :6775
0.8 6.8 :6876
0.8 6.9 :6977
0.8 7 :7078
0.8 7.1 :7179
0.8 7.2 :7280
0.8 7.3 :7381
0.8 7.4 :7482
0.8 7.5 :7583
0.8 7.6 :7684
0.8 7.7 :7785
0.8 7.8 :7886
0.8 7.9 :7987
0.8 8 :8088
0.8 8.1 :8189
0.8 8.2 :8290
0.8 8.3 :8391
0.8 8.4 :8492
0.8 8.5 :8593
0.8 8.6 :8694
0.8 8.7 :8795
0.8 8.8 :8896
0.8 8.9 :8997
0.8 9 :9098
0.8 9.1 :9199
0.8 9.2 :9300
0.8 9.3 :9401
0.8 9.4 :9502
0.8 9.5 :9603
0.8 9.6 :9704
0.8 9.7 :9805
0.8 9.8 :9906
0.8 9.9 :10007
0.8 10 :10108
X Y  Index
---------------------------------------------------
0.9 0 :9
0.9 0.1 :110
0.9 0.2 :211
0.9 0.3 :312
0.9 0.4 :413
0.9 0.5 :514
0.9 0.6 :615
0.9 0.7 :716
0.9 0.8 :817
0.9 0.9 :918
0.9 1 :1019
0.9 1.1 :1120
0.9 1.2 :1221
0.9 1.3 :1322
0.9 1.4 :1423
0.9 1.5 :1524
0.9 1.6 :1625
0.9 1.7 :1726
0.9 1.8 :1827
0.9 1.9 :1928
0.9 2 :2029
0.9 2.1 :2130
0.9 2.2 :2231
0.9 2.3 :2332
0.9 2.4 :2433
0.9 2.5 :2534
0.9 2.6 :2635
0.9 2.7 :2736
0.9 2.8 :2837
0.9 2.9 :2938
0.9 3 :3039
0.9 3.1 :3140
0.9 3.2 :3241
0.9 3.3 :3342
0.9 3.4 :3443
0.9 3.5 :3544
0.9 3.6 :3645
0.9 3.7 :3746
0.9 3.8 :3847
0.9 3.9 :3948
0.9 4 :4049
0.9 4.1 :4150
0.9 4.2 :4251
0.9 4.3 :4352
0.9 4.4 :4453
0.9 4.5 :4554
0.9 4.6 :4655
0.9 4.7 :4756
0.9 4.8 :4857
0.9 4.9 :4958
0.9 5 :5059
0.9 5.1 :5160
0.9 5.2 :5261
0.9 5.3 :5362
0.9 5.4 :5463
0.9 5.5 :5564
0.9 5.6 :5665
0.9 5.7 :5766
0.9 5.8 :5867
0.9 5.9 :5968
0.9 6 :6069
0.9 6.1 :6170
0.9 6.2 :6271
0.9 6.3 :6372
0.9 6.4 :6473
0.9 6.5 :6574
0.9 6.6 :6675
0.9 6.7 :6776
0.9 6.8 :6877
0.9 6.9 :6978
0.9 7 :7079
0.9 7.1 :7180
0.9 7.2 :7281
0.9 7.3 :7382
0.9 7.4 :7483
0.9 7.5 :7584
0.9 7.6 :7685
0.9 7.7 :7786
0.9 7.8 :7887
0.9 7.9 :7988
0.9 8 :8089
0.9 8.1 :8190
0.9 8.2 :8291
0.9 8.3 :8392
0.9 8.4 :8493
0.9 8.5 :8594
0.9 8.6 :8695
0.9 8.7 :8796
0.9 8.8 :8897
0.9 8.9 :8998
0.9 9 :9099
0.9 9.1 :9200
0.9 9.2 :9301
0.9 9.3 :9402
0.9 9.4 :9503
0.9 9.5 :9604
0.9 9.6 :9705
0.9 9.7 :9806
0.9 9.8 :9907
0.9 9.9 :10008
0.9 10 :10109
X Y  Index
---------------------------------------------------
1 0 :10
1 0.1 :111
1 0.2 :212
1 0.3 :313
1 0.4 :414
1 0.5 :515
1 0.6 :616
1 0.7 :717
1 0.8 :818
1 0.9 :919
1 1 :1020
1 1.1 :1121
1 1.2 :1222
1 1.3 :1323
1 1.4 :1424
1 1.5 :1525
1 1.6 :1626
1 1.7 :1727
1 1.8 :1828
1 1.9 :1929
1 2 :2030
1 2.1 :2131
1 2.2 :2232
1 2.3 :2333
1 2.4 :2434
1 2.5 :2535
1 2.6 :2636
1 2.7 :2737
1 2.8 :2838
1 2.9 :2939
1 3 :3040
1 3.1 :3141
1 3.2 :3242
1 3.3 :3343
1 3.4 :3444
1 3.5 :3545
1 3.6 :3646
1 3.7 :3747
1 3.8 :3848
1 3.9 :3949
1 4 :4050
1 4.1 :4151
1 4.2 :4252
1 4.3 :4353
1 4.4 :4454
1 4.5 :4555
1 4.6 :4656
1 4.7 :4757
1 4.8 :4858
1 4.9 :4959
1 5 :5060
1 5.1 :5161
1 5.2 :5262
1 5.3 :5363
1 5.4 :5464
1 5.5 :5565
1 5.6 :5666
1 5.7 :5767
1 5.8 :5868
1 5.9 :5969
1 6 :6070
1 6.1 :6171
1 6.2 :6272
1 6.3 :6373
1 6.4 :6474
1 6.5 :6575
1 6.6 :6676
1 6.7 :6777
1 6.8 :6878
1 6.9 :6979
1 7 :7080
1 7.1 :7181
1 7.2 :7282
1 7.3 :7383
1 7.4 :7484
1 7.5 :7585
1 7.6 :7686
1 7.7 :7787
1 7.8 :7888
1 7.9 :7989
1 8 :8090
1 8.1 :8191
1 8.2 :8292
1 8.3 :8393
1 8.4 :8494
1 8.5 :8595
1 8.6 :8696
1 8.7 :8797
1 8.8 :8898
1 8.9 :8999
1 9 :9100
1 9.1 :9201
1 9.2 :9302
1 9.3 :9403
1 9.4 :9504
1 9.5 :9605
1 9.6 :9706
1 9.7 :9807
1 9.8 :9908
1 9.9 :10009
1 10 :10110
X Y  Index
---------------------------------------------------
1.1 0 :11
1.1 0.1 :112
1.1 0.2 :213
1.1 0.3 :314
1.1 0.4 :415
1.1 0.5 :516
1.1 0.6 :617
1.1 0.7 :718
1.1 0.8 :819
1.1 0.9 :920
1.1 1 :1021
1.1 1.1 :1122
1.1 1.2 :1223
1.1 1.3 :1324
1.1 1.4 :1425
1.1 1.5 :1526
1.1 1.6 :1627
1.1 1.7 :1728
1.1 1.8 :1829
1.1 1.9 :1930
1.1 2 :2031
1.1 2.1 :2132
1.1 2.2 :2233
1.1 2.3 :2334
1.1 2.4 :2435
1.1 2.5 :2536
1.1 2.6 :2637
1.1 2.7 :2738
1.1 2.8 :2839
1.1 2.9 :2940
1.1 3 :3041
1.1 3.1 :3142
1.1 3.2 :3243
1.1 3.3 :3344
1.1 3.4 :3445
1.1 3.5 :3546
1.1 3.6 :3647
1.1 3.7 :3748
1.1 3.8 :3849
1.1 3.9 :3950
1.1 4 :4051
1.1 4.1 :4152
1.1 4.2 :4253
1.1 4.3 :4354
1.1 4.4 :4455
1.1 4.5 :4556
1.1 4.6 :4657
1.1 4.7 :4758
1.1 4.8 :4859
1.1 4.9 :4960
1.1 5 :5061
1.1 5.1 :5162
1.1 5.2 :5263
1.1 5.3 :5364
1.1 5.4 :5465
1.1 5.5 :5566
1.1 5.6 :5667
1.1 5.7 :5768
1.1 5.8 :5869
1.1 5.9 :5970
1.1 6 :6071
1.1 6.1 :6172
1.1 6.2 :6273
1.1 6.3 :6374
1.1 6.4 :6475
1.1 6.5 :6576
1.1 6.6 :6677
1.1 6.7 :6778
1.1 6.8 :6879
1.1 6.9 :6980
1.1 7 :7081
1.1 7.1 :7182
1.1 7.2 :7283
1.1 7.3 :7384
1.1 7.4 :7485
1.1 7.5 :7586
1.1 7.6 :7687
1.1 7.7 :7788
1.1 7.8 :7889
1.1 7.9 :7990
1.1 8 :8091
1.1 8.1 :8192
1.1 8.2 :8293
1.1 8.3 :8394
1.1 8.4 :8495
1.1 8.5 :8596
1.1 8.6 :8697
1.1 8.7 :8798
1.1 8.8 :8899
1.1 8.9 :9000
1.1 9 :9101
1.1 9.1 :9202
1.1 9.2 :9303
1.1 9.3 :9404
1.1 9.4 :9505
1.1 9.5 :9606
1.1 9.6 :9707
1.1 9.7 :9808
1.1 9.8 :9909
1.1 9.9 :10010
1.1 10 :10111
X Y  Index
---------------------------------------------------
