Distance Squared = 3.006231, compared to 6.091024
Distance Squared = 1.488789, compared to 6.091024
Distance Squared = 3.155063, compared to 6.091024
Distance Squared = 0.954943, compared to 6.091024
Distance Squared = 5.719837, compared to 6.091024
Distance Squared = 1.879251, compared to 6.091024
Distance Squared = 0.430426, compared to 6.091024
Distance Squared = 5.960194, compared to 6.091024
Distance Squared = 1.986471, compared to 6.091024
Distance Squared = 1.730718, compared to 6.091024
Distance Squared = 5.651144, compared to 6.091024
Distance Squared = 4.212451, compared to 6.091024
Distance Squared = 4.093487, compared to 6.091024
Distance Squared = 1.144689, compared to 6.091024
Distance Squared = 0.182908, compared to 6.091024
Distance Squared = 0.830414, compared to 6.091024
Distance Squared = 5.620738, compared to 6.091024
Distance Squared = 2.628685, compared to 6.091024
Distance Squared = 1.849104, compared to 6.091024
Distance Squared = 3.825144, compared to 6.091024
Distance Squared = 4.590642, compared to 6.091024
Distance Squared = 6.058296, compared to 6.091024
Distance Squared = 3.648248, compared to 6.091024
Distance Squared = 3.579221, compared to 6.091024
Distance Squared = 5.392981, compared to 6.091024
Distance Squared = 2.581966, compared to 6.091024
Distance Squared = 2.763161, compared to 6.091024
Distance Squared = 5.536579, compared to 6.091024
Distance Squared = 5.410139, compared to 6.091024
Distance Squared = 1.738115, compared to 6.091024
Distance Squared = 6.026337, compared to 6.091024
Distance Squared = 4.611846, compared to 6.091024
Distance Squared = 2.881528, compared to 6.091024
Distance Squared = 1.394814, compared to 6.091024
Distance Squared = 4.957696, compared to 6.091024
Distance Squared = 1.612035, compared to 6.091024
Distance Squared = 0.140635, compared to 6.091024
Distance Squared = 2.996273, compared to 6.091024
Distance Squared = 6.001436, compared to 6.091024
Distance Squared = 3.109741, compared to 6.091024
Distance Squared = 3.837149, compared to 6.091024
Distance Squared = 1.216715, compared to 6.091024
Distance Squared = 5.075517, compared to 6.091024
Distance Squared = 4.737656, compared to 6.091024
Distance Squared = 0.538507, compared to 6.091024
Distance Squared = 5.020508, compared to 6.091024
Distance Squared = 3.960824, compared to 6.091024
Distance Squared = 5.923575, compared to 6.091024
Distance Squared = 3.802370, compared to 6.091024
Distance Squared = 4.072702, compared to 6.091024
Distance Squared = 3.069975, compared to 6.091024
Distance Squared = 1.776916, compared to 6.091024
Distance Squared = 5.036248, compared to 6.091024
Distance Squared = 0.890656, compared to 6.091024
Distance Squared = 2.204510, compared to 6.091024
Distance Squared = 2.909435, compared to 6.091024
Distance Squared = 5.967861, compared to 6.091024
Distance Squared = 4.041506, compared to 6.091024
Distance Squared = 0.134987, compared to 6.091024
Distance Squared = 4.666554, compared to 6.091024
Distance Squared = 3.114600, compared to 6.091024
Distance Squared = 1.600988, compared to 6.091024
Distance Squared = 1.326778, compared to 6.091024
Distance Squared = 3.815811, compared to 6.091024
Distance Squared = 1.461613, compared to 6.091024
Distance Squared = 0.230229, compared to 6.091024
Distance Squared = 5.710309, compared to 6.091024
Distance Squared = 5.900647, compared to 6.091024
Distance Squared = 5.020062, compared to 6.091024
Distance Squared = 4.744565, compared to 6.091024
